FEATURE_ID,NAME,LEVEL_1,GEOCODE,index,class_id,level_0,level_1,level_2,level_3,level_4,color,feature_id,theme,raw,value,key,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1103,11,relative,,,,,,,,,,,,"0,1","0,09","0,24","0,21","0,05","0,05","0,09","0,19","0,14","0,08","0,1","0,08","0,11","0,29","0,22","0,11","0,15","0,15","0,18","0,17","0,25","0,12","0,33","0,12","0,07","0,34","0,06"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1103,11,value,,,,,,,,,,,,"411872,4775","373082,4688","957433,0033","853914,0535","202303,0872","212805,5068","369188,4158","753911,6874","536688,3041","308095,7013","366005,8215","295811,1202","438151,7744","1122000,583","831076,3896","420754,6345","555934,0014","564566,4594","684433,5416","630472,0226","950008,0701","464630,4022","1240617,251","452344,7833","255346,4259","1278651,551","230015,4646"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1203,12,relative,,,,,,,,,,,,,"0,1","0,09","0,22","0,2","0,05","0,05","0,09","0,19","0,14","0,08","0,09","0,07","0,11","0,29","0,21","0,11","0,15","0,15","0,18","0,16","0,24","0,12","0,33","0,12","0,07","0,33"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1203,12,value,,,,,,,,,,,,,"396168,4776","358987,2186","888435,6673","796324,8479","191651,1296","203696,8525","350736,1748","725890,4493","524340,0977","298187,4152","360472,914","279515,191","430976,3339","1117349,118","793357,7826","423772,8609","551422,8686","558030,8598","672907,2769","607870,0352","916977,5971","450775,7363","1228742,382","439894,1915","249040,8134","1229831,466"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1303,13,relative,,,,,,,,,,,,,,"0,09","0,08","0,21","0,19","0,05","0,05","0,09","0,18","0,13","0,08","0,09","0,07","0,11","0,28","0,21","0,11","0,15","0,15","0,17","0,16","0,24","0,12","0,31","0,11","0,07"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1303,13,value,,,,,,,,,,,,,,"378868,8832","336187,8139","832406,2537","755268,8085","181587,1142","195058,4247","335008,7252","699575,1744","507907,1481","297074,8663","345979,6498","273296,1579","433235,1023","1081356,806","793631,0713","421062,8767","548689,3386","549922,1619","650397,0123","590998,2403","891827,8987","444891,0477","1170851,75","426205,6565","240711,3467"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1403,14,relative,,,,,,,,,,,,,,,"0,09","0,08","0,2","0,18","0,04","0,05","0,08","0,17","0,13","0,07","0,09","0,07","0,11","0,29","0,21","0,11","0,14","0,14","0,16","0,15","0,23","0,12","0,3","0,11"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1403,14,value,,,,,,,,,,,,,,,"357554,8878","319231,1885","785903,2462","724846,6089","174661,6062","188497,8564","321128,0919","657765,5763","503472,4379","280528,7445","339598,778","274439,9016","431841,2481","1082508,398","787923,404","419282,5557","541868,1053","529971,4566","618243,8675","577355,2263","874884,8382","434727,5031","1128160,67","414727,6486"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1503,15,relative,,,,,,,,,,,,,,,,"0,09","0,08","0,19","0,18","0,04","0,05","0,08","0,17","0,13","0,07","0,09","0,07","0,11","0,28","0,21","0,11","0,14","0,14","0,16","0,15","0,23","0,11","0,3"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1503,15,value,,,,,,,,,,,,,,,,"342404,0071","305447,026","745967,7186","701776,8831","167866,4871","183750,4371","306849,8188","639733,0427","484934,7188","275499,6229","339926,4142","272020,5193","436038,1182","1064615,057","781331,1468","414889,9292","526668,5227","509537,0203","607008,2336","568504,7458","853919,3168","421046,8583","1090188,203"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1603,16,relative,,,,,,,,,,,,,,,,,"0,08","0,07","0,18","0,17","0,04","0,05","0,08","0,16","0,12","0,07","0,09","0,07","0,11","0,28","0,2","0,11","0,14","0,13","0,16","0,15","0,22","0,11"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1603,16,value,,,,,,,,,,,,,,,,,"330328,4919","293751,4787","709900,9479","676630,4413","162238,395","178120,0127","302545,6718","609704,5025","475437,6635","274697,2164","336598,8193","273041,3366","432591,2006","1060764,155","772398,7279","404107,3349","513165,7128","496885,4402","597735,6132","554506,7306","812569,1904","405449,2365"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1703,17,relative,,,,,,,,,,,,,,,,,,"0,08","0,07","0,18","0,17","0,04","0,05","0,08","0,16","0,12","0,07","0,09","0,07","0,11","0,28","0,2","0,11","0,13","0,13","0,15","0,14","0,21"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1703,17,value,,,,,,,,,,,,,,,,,,"319591,4014","282479,574","681437,5263","656373,2537","157008,3986","175348,9202","287924,3849","597038,8331","474852,5039","268295,963","338902,7568","269845,5626","431191,0313","1049151,756","759047,2961","395711,1078","505755,7966","488815,4034","557548,9847","536667,4316","775462,3002"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1803,18,relative,,,,,,,,,,,,,,,,,,,"0,08","0,07","0,17","0,17","0,04","0,04","0,07","0,16","0,12","0,07","0,09","0,07","0,11","0,27","0,2","0,1","0,13","0,13","0,15","0,14"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1803,18,value,,,,,,,,,,,,,,,,,,,"308761,9818","272214,6347","653980,3741","635621,8736","156093,2721","168861,2557","282777,6589","596037,846","471159,7369","269385,3551","337229,7343","269800,0891","426679,0968","1022032,87","743404,8867","388020,6633","500232,7892","478225,4747","546293,9257","512892,8172"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1903,19,relative,,,,,,,,,,,,,,,,,,,,"0,08","0,07","0,16","0,16","0,04","0,04","0,07","0,16","0,12","0,07","0,09","0,07","0,11","0,26","0,19","0,1","0,13","0,13","0,14"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1903,19,value,,,,,,,,,,,,,,,,,,,,"299303,0639","265251,2742","632006,1213","626422,9688","151523,8089","165339,0452","281740,9144","591450,7902","471049,8255","268206,8989","337286,825","265650,464","410396,1193","969505,0912","715267,4537","382544,3348","486992,0712","463927,9283","523991,8209"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,2003,20,relative,,,,,,,,,,,,,,,,,,,,,"0,08","0,07","0,16","0,15","0,04","0,04","0,07","0,16","0,12","0,07","0,09","0,07","0,1","0,25","0,19","0,1","0,13","0,12"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,2003,20,value,,,,,,,,,,,,,,,,,,,,,"290690,6687","258028,6309","620371,9329","587669,5473","148100,2389","164913,7098","277753,2664","589899,405","464883,2325","268396,4908","335453,1288","257327,5377","387406,3421","953245,5374","703769,0767","376417,2066","473011,988","445130,7962"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,2103,21,relative,,,,,,,,,,,,,,,,,,,,,,"0,07","0,07","0,15","0,15","0,04","0,04","0,07","0,15","0,12","0,07","0,09","0,07","0,1","0,25","0,19","0,1","0,12"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,2103,21,value,,,,,,,,,,,,,,,,,,,,,,"282887,8538","255917,5351","590852,301","577371,5833","146880,0768","163312,34","277595,3115","578575,5048","461218,9518","267035,8099","329677,5593","251644,3424","383223,389","942312,214","693721,4731","368326,3209","452644,4843"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,2203,22,relative,,,,,,,,,,,,,,,,,,,,,,,"0,07","0,06","0,15","0,15","0,04","0,04","0,07","0,15","0,12","0,07","0,09","0,07","0,1","0,24","0,18","0,1"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,2203,22,value,,,,,,,,,,,,,,,,,,,,,,,"280497,2895","247379,9312","575533,6843","571093,1379","146239,3646","163943,9157","275511,3649","572215,8675","458029,5922","262395,1036","326161,7985","248060,4256","379492,3425","884741,2998","662250,0111","353076,4441"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,2303,23,relative,,,,,,,,,,,,,,,,,,,,,,,,"0,07","0,06","0,15","0,15","0,04","0,04","0,07","0,15","0,12","0,07","0,09","0,07","0,1","0,23","0,17"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,2303,23,value,,,,,,,,,,,,,,,,,,,,,,,,"272053,7284","243361,6026","569234,9433","558120,0958","145744,5751","162811,9724","274508,8254","561385,2753","446050,4986","258247,3429","321751,3988","246808,3372","374956,1143","870083,2811","640862,2431"
