FEATURE_ID,NAME,LEVEL_1,GEOCODE,index,class_id,level_0,level_1,level_2,level_3,level_4,color,feature_id,edge_size,key,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Brasil,,,1120,4,Natural,1. Forest,Savanna Formation,Savanna Formation,Savanna Formation,#00ff00,1,90,relative,"25,05","24,95","24,88","25,12","25,28","25,44","25,66","25,81","25,85","25,94","26,01","26,02","25,98","25,95","25,99","26,08","26,2","26,32","26,5","26,79","27,03","27,16","27,36","27,47","27,55","27,62","27,88","28,13","28,55","28,93","29,16","29,32","29,5","29,96","30,04","30,26","30,45","30,86"
1,Brasil,,,1120,4,Natural,1. Forest,Savanna Formation,Savanna Formation,Savanna Formation,#00ff00,1,90,value,"33418127,99","33462245,19","33158270,33","33138292,4","32978691,33","32819264,54","32819676,88","32598754,17","32305072,2","32221105,91","32069088,45","31922399,31","31737205,82","31467270,86","31282483,02","31191534,05","31060346,8","30915011,96","30810376,23","30769877,83","30813646,84","30869187,22","30994192,37","31067775,98","31091845,2","31084588,02","31280343,22","31317596,29","31564551,77","31739544,89","31852252,26","31857228,55","31911677,91","32263854,68","32166384,68","32172225,26","32125791,58","32251256,9"
1,Brasil,,,1120,4,Natural,1. Forest,Savanna Formation,Savanna Formation,Savanna Formation,#00ff00,1,120,relative,"30,32","30,19","30,11","30,38","30,56","30,72","30,99","31,14","31,18","31,27","31,35","31,35","31,32","31,29","31,34","31,44","31,57","31,72","31,93","32,24","32,52","32,67","32,9","33,03","33,12","33,2","33,51","33,81","34,31","34,74","34,99","35,16","35,37","35,89","35,98","36,23","36,44","36,94"
1,Brasil,,,1120,4,Natural,1. Forest,Savanna Formation,Savanna Formation,Savanna Formation,#00ff00,1,120,value,"40459383,51","40491090,17","40126364,76","40077265,09","39862102,38","39637821,86","39627971,88","39326601,16","38968127,5","38840826,25","38649668,86","38472289,86","38260472,75","37933808,98","37720358,62","37602718,34","37424191,07","37251262,98","37113117,48","37030239,13","37070360,43","37139303,22","37268850,9","37358076,28","37381369,65","37362257,63","37598699,9","37635053,3","37923261,57","38116939,3","38212385,97","38206157,08","38262290,25","38648941,92","38522446,04","38519122,52","38451275,82","38599246,08"
1,Brasil,,,1120,4,Natural,1. Forest,Savanna Formation,Savanna Formation,Savanna Formation,#00ff00,1,150,relative,"35,96","35,78","35,69","35,98","36,17","36,34","36,64","36,78","36,83","36,92",37,37,"36,97","36,94","37,01","37,12","37,26","37,43","37,66",38,"38,3","38,48","38,73","38,89","38,98","39,07","39,43","39,76","40,34","40,83","41,08","41,27","41,5","42,08","42,17","42,45","42,69","43,27"
1,Brasil,,,1120,4,Natural,1. Forest,Savanna Formation,Savanna Formation,Savanna Formation,#00ff00,1,150,value,"47974939,28","47994415,73","47565036,84","47470888,98","47188750,4","46883811,1","46854503,39","46457468,07","46028914,97","45849082,88","45616031,64","45406992,74","45170714,87","44783454,11","44543900,25","44397746,86","44162921,38","43960953,32","43779906,23","43640439,77","43667731,96","43748100,26","43874300,3","43981453,69","43999082,84","43965055,44","44241649,93","44267779,02","44594352,97","44802351,89","44867043,47","44845418,7","44899502,53","45313128,96","45155904,69","45138727,8","45043342,25",45211359
1,Brasil,,,1120,4,Natural,1. Forest,Savanna Formation,Savanna Formation,Savanna Formation,#00ff00,1,300,relative,"52,86","52,58","52,45","52,73","52,91","53,02","53,36","53,44","53,48","53,53","53,64","53,66","53,66","53,58","53,71","53,86","53,97","54,21","54,46","54,8","55,14","55,37","55,63","55,87","55,96","56,05","56,55","56,94","57,71","58,3","58,46","58,68","58,95","59,64","59,74","60,09","60,36","61,11"
1,Brasil,,,1120,4,Natural,1. Forest,Savanna Formation,Savanna Formation,Savanna Formation,#00ff00,1,300,value,"70526849,03","70534583,4","69902633,26","69568049,52","69020050,97","68405951,77","68232922,06","67503140,69","66846066,58","66486047,33","66139285,07","65841413,01","65551536,7","64966779,56","64645193,06","64408212,45","63975565,47","63673475,83","63315215,35","62938734,01","62860566,51","62945711,76","63019492,73","63185113,09","63162588,65","63075161,23","63446245,4","63387909,29","63788252,53","63971636,2","63856870,63","63762382,32","63784059,4","64216572,05","63967027,55","63887786,46","63692508,53","63860368,8"
1,Brasil,,,1120,4,Natural,1. Forest,Savanna Formation,Savanna Formation,Savanna Formation,#00ff00,1,600,relative,"70,29","69,97","69,77","69,96","70,05","70,06","70,33","70,35","70,36","70,35","70,51","70,53","70,59","70,48","70,62","70,78","70,85","71,12","71,34","71,57","71,84","72,1","72,32","72,64","72,7","72,79","73,35","73,67","74,48","75,07","75,1","75,27","75,53","76,17","76,27","76,61","76,91","77,7"
1,Brasil,,,1120,4,Natural,1. Forest,Savanna Formation,Savanna Formation,Savanna Formation,#00ff00,1,600,value,"93790528,62","93853975,46","92984839,45","92288766,53","91387025,31","90391913,13","89935771,72","88849934,45","87937133,97","87370726,94","86931494,41","86550266,35","86240498,24","85446575,69","85000765,65","84651406,3","83986692,32","83532908,59","82931544,45","82199860,33","81907136,59","81959085,49","81932788,97","82143065,5","82057644,6","81912460,29","82297339,13","82013833,73","82335270,53","82374496,24","82022972,23","81791479,41","81715173,27","82017678,97","81660913,25","81461972,33","81148882,18","81186184,25"
