FEATURE_ID,NAME,LEVEL_1,GEOCODE,index,class_id,level_0,level_1,level_2,level_3,level_4,color,feature_id,theme,raw,value,key,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1103,11,relative,,,,,,,,,,,"0,12","0,05","0,05","0,08","0,08","0,06","0,05","0,03","0,06","0,07","0,05","0,07","0,06","0,06","0,1","0,08","0,08","0,1","0,09","0,1","0,09","0,1","0,1","0,08","0,11","0,12","0,12"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1103,11,value,,,,,,,,,,,"420624,775","161130,8284","162651,7451","285063,3069","255083,9424","198646,3425","169891,3378","109111,354","195371,0126","216126,8143","158979,6216","224087,9674","178843,1499","176267,7107","308758,7673","255021,2793","256700,1193","317342,441","280215,9924","316750,8651","278208,432","311562,6626","328805,8503","248060,2495","348869,9989","357285,8101","383905,3534"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1203,12,relative,,,,,,,,,,,,"0,12","0,04","0,05","0,08","0,07","0,06","0,05","0,03","0,06","0,06","0,05","0,07","0,05","0,05","0,09","0,08","0,08","0,1","0,08","0,1","0,08","0,09","0,1","0,08","0,11","0,11"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1203,12,value,,,,,,,,,,,,"398941,7477","149279,1788","152133,5649","261055,3205","233481,784","182898,435","157787,3811","101377,2868","183619,5256","205943,001","150374,1014","210576,9471","171343,0381","169540,0052","295238,6804","243704,4371","244971,8561","303379,249","265496,1331","300681,7829","264505,3124","296264,171","312808,5286","237321,2122","333078,8076","329120,4835"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1303,13,relative,,,,,,,,,,,,,"0,11","0,04","0,04","0,07","0,07","0,05","0,05","0,03","0,05","0,06","0,04","0,06","0,05","0,05","0,09","0,07","0,07","0,09","0,08","0,09","0,08","0,09","0,1","0,07","0,1"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1303,13,value,,,,,,,,,,,,,"377173,5253","140539,1614","143744,3086","238927,0307","215994,9508","168146,7746","147633,498","95138,05951","174387,258","196138,1945","142073,6475","202077,2712","165480,9458","163712,9569","282120,8967","232966,2989","234828,532","288687,0829","251917,926","287738,3195","252196,0927","282628,7506","300669,2341","226446,64","310024,5496"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1403,14,relative,,,,,,,,,,,,,,"0,11","0,04","0,04","0,07","0,06","0,05","0,04","0,03","0,05","0,06","0,04","0,06","0,05","0,05","0,08","0,07","0,07","0,09","0,08","0,09","0,08","0,09","0,09","0,07"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1403,14,value,,,,,,,,,,,,,,"355553,3626","133035,1025","134421,8759","221562,4014","199698,733","157774,5905","139897,7859","90091,05438","166108,7281","186713,5807","136390,2325","195388,7559","160329,2825","158221,8915","270309,6768","224078,0705","224544,5488","274252,708","241042,4938","275325,3475","241673,3344","272326,0865","288636,517","210066,2836"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1503,15,relative,,,,,,,,,,,,,,,"0,1","0,04","0,04","0,06","0,06","0,05","0,04","0,03","0,05","0,06","0,04","0,06","0,05","0,05","0,08","0,07","0,07","0,08","0,07","0,08","0,07","0,08","0,09"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1503,15,value,,,,,,,,,,,,,,,"340115,6486","124400,089","125931,53","204614,745","187092,4915","149388,0508","133155,3996","86081,21741","156565,828","180431,5826","131655,4125","189583,5662","154915,638","152402,315","260900,4363","213903,1912","214096,9011","263803,589","231344,8958","264532,0346","233431,6571","262190,8525","269455,2687"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1603,16,relative,,,,,,,,,,,,,,,,"0,1","0,04","0,04","0,06","0,05","0,04","0,04","0,03","0,05","0,05","0,04","0,06","0,05","0,05","0,08","0,06","0,07","0,08","0,07","0,08","0,07","0,08"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1603,16,value,,,,,,,,,,,,,,,,"324495,1331","118130,7704","118262,0495","192127,1057","177448,8944","143084,4388","127822,4799","82131,23261","150730,8189","175133,0941","127489,331","183785,0566","148919,8578","147183,2468","250504,395","203836,5152","206547,5012","253175,0925","222945,1671","256580,7405","225601,5114","246006,9418"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1703,17,relative,,,,,,,,,,,,,,,,,"0,09","0,03","0,03","0,06","0,05","0,04","0,04","0,02","0,05","0,05","0,04","0,06","0,05","0,04","0,08","0,06","0,06","0,08","0,07","0,08","0,07"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1703,17,value,,,,,,,,,,,,,,,,,"306786,3216","111904,4663","111663,3424","181921,6253","169794,272","137330,4197","122326,3708","79375,84481","145495,2258","170465,06","123216,2945","177329,0851","143878,0986","141627,9199","239867,0168","197058,5112","199481,5025","244652,283","216618,0254","248717,3683","211492,347"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1803,18,relative,,,,,,,,,,,,,,,,,,"0,09","0,03","0,03","0,05","0,05","0,04","0,04","0,02","0,04","0,05","0,04","0,05","0,04","0,04","0,07","0,06","0,06","0,08","0,07","0,08"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1803,18,value,,,,,,,,,,,,,,,,,,"288238,5569","106882,2102","107007,826","172687,4867","163142,454","131528,3081","118121,822","76943,96133","140994,5312","165608,5841","118922,7067","171621,3626","138294,4586","136182,8153","232488,1236","190685,4198","193543,2323","238212,4781","210520,5175","234112,1043"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1903,19,relative,,,,,,,,,,,,,,,,,,,"0,08","0,03","0,03","0,05","0,05","0,04","0,04","0,02","0,04","0,05","0,04","0,05","0,04","0,04","0,07","0,06","0,06","0,07","0,06"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1903,19,value,,,,,,,,,,,,,,,,,,,"274482,6046","103028,3979","103246,9752","164113,9737","156536,3695","127610,501","115025,1343","74863,00911","136860,6179","160368,7656","115463,4668","165593,9663","132727,786","132076,4181","226006,9196","184877,256","188865,4497","232094,2836","199606,2715"
